Company_Code;Inicio_negociacao;Gov_Corp;Class_Setor;Ativ_Principal;Faturamento_2023;;;;Código;Ação;Tipo;
TTEN3;12/07/2021;NM;Consumo não Cíclico / Agropecuária / Agricultura;"Varejo de insumos agrícolas; Recebimento e comercialização de grãos de soja. milho e trigo; e Indústria. na cadeia de soja.";8.998.985.000;;;;TTEN3;3TENTOS;ON      NM;NM
ABCB4;25/07/2007;N2; Financeiro / Intermediários Financeiros / Bancos;Banco;5.972.038.000;;;;AERI3;AERIS;ON      NM;NM
AESB3;29/03/2021;NM;Utilidade Pública / Energia Elétrica / Energia Elétrica;Holdings de instituições não-financeiras;3.431.516.000;;;;AALR3;ALLIAR;ON  ES  NM;NM
ALOS3;03/02/2011;NM;Financeiro / Exploração de Imóveis / Exploração de Imóveis;Planejamento. desenvolvimento. implantação e investimentos na área imobiliária. nomeadamente em Shopping Centers e a participação em outras sociedades e/ou em fundos de investimento imobiliário.;2.712.274.000;;;;ALLD3;ALLIED;ON      NM;NM
ALPA4;20/07/1977;N1;Consumo Cíclico / Tecidos. Vestuário e Calçados / Calçados;Indústria e comércio de calçados e artigos esportivos;3.734.146.000;;;;ALOS3;ALLOS;ON      NM;NM
ALUP11;24/04/2013;N2;Utilidade Pública / Energia Elétrica / Energia Elétrica;"a participação em outras sociedades atuantes nos setores de energia e infra-estrutura. no Brasil ou no exterior; a geração. transformação. transporte. a distribuiçãoe o comércio de energia.";3.311.381.000;;;;AVLL3;ALPHAVILLE;ON      NM;NM
ABEV3;11/11/2013;N2; Consumo não Cíclico / Bebidas / Cervejas e Refrigerantes ;Fabricação e distribuição de cervejas. refrigerantes e bebidas não carbonatadas e não alcoólicas.;79.736.856.000;;;;AMBP3;AMBIPAR;ON      NM;NM
AMBP3;13/07/2020;NM;Utilidade Pública / Água e Saneamento / Água e Saneamento;Gerenciamento e valorização de resíduos. bem como. prestação de serviços de atendimento a emergência.;4.872.707.000;;;;ANIM3;ANIMA;ON      NM;NM
AMER3;08/08/2007;NM;Consumo Cíclico / Comércio / Produtos Diversos;Comércio varejista e atacadista em geral de quaisquer bens e serviços por meio de diversos meios. em especial. da Internet e de lojas físicas. sem restrição a outros meios.;14.942.000.000;;;;ARML3;ARMAC;ON      NM;NM
ANIM3;28/10/2013;NM;Consumo Cíclico / Diversos / Serviços Educacionais;Administração. direta ou indireta. de atividade de instituições de 3º e 4º graus. educação profissional.;3.732.940.000;;;;ASAI3;ASSAI;ON      NM;NM
ASAI3;01/03/2021;NM;Consumo não Cíclico / Comércio e Distribuição / Alimentos;Atacadista de autosserviços;66.503.000.000;;;;AURE3;AUREN;ON      NM;NM
AURE3;;NM;;;;;;;AZZA3;AZZAS 2154;ON      NM;NM
AZUL4;;;;;;;;;B3SA3;B3;ON      NM;NM
AZZA3;;NM;;;;;;;BBSE3;BBSEGURIDADE;ON      NM;NM
B3SA3;;NM;;;;;;;BMOB3;BEMOBI TECH;ON      NM;NM
BPAN4;;;;;;;;;BLAU3;BLAU;ON      NM;NM
BRSR6;;;;;;;;;SOJA3;BOA SAFRA;ON      NM;NM
BBSE3;;NM;;;;;;;BBAS3;BRASIL;ON  EJ  NM;NM
BBDC3;;NM;;;;;;;AGRO3;BRASILAGRO;ON      NM;NM
BBDC4;;;;;;;;;BRAV3;BRAVA;ON      NM;NM
BRAP4;;;;;;;;;BRFS3;BRF SA;ON  EJ  NM;NM
BBAS3;;NM;;;;;;;BRIT3;BRISANET;ON      NM;NM
BRKM5;;;;;;;;;CXSE3;CAIXA SEGURI;ON      NM;NM
BRAV3;;NM;;;;;;;CAML3;CAMIL;ON  EDJ NM;NM
BRFS3;;NM;;;;;;;CRFB3;CARREFOUR BR;ON      NM;NM
BPAC11;;0;;;;;;;BHIA3;CASAS BAHIA;ON      NM;NM
CXSE3;;NM;;;;;;;CBAV3;CBA;ON      NM;NM
CRFB3;;NM;;;;;;;CCRO3;CCR SA;ON      NM;NM
BHIA3;;0;;;;;;;CEAB3;CEA MODAS;ON      NM;NM
CBAV3;;NM;;;;;;;CLSA3;CLEARSALE;ON      NM;NM
CCRO3;;NM;;;;;;;COGN3;COGNA ON;ON      NM;NM
CEAB3;;NM;;;;;;;CSMG3;COPASA;ON      NM;NM
CMIG4;;0;;;;;;;CSAN3;COSAN;ON      NM;NM
COGN3;;NM;;;;;;;CPFE3;CPFL ENERGIA;ON      NM;NM
CSMG3;;NM;;;;;;;CSED3;CRUZEIRO EDU;ON      NM;NM
CPLE3;;0;;;;;;;CSUD3;CSU DIGITAL;ON      NM;NM
CPLE6;;0;;;;;;;CURY3;CURY S/A;ON      NM;NM
CSAN3;;NM;;;;;;;CVCB3;CVC BRASIL;ON      NM;NM
CPFE3;;0;;;;;;;CYRE3;CYRELA REALT;ON      NM;NM
CMIN3;;0;;;;;;;DMVF3;D1000VFARMA;ON      NM;NM
CURY3;;NM;;;;;;;DASA3;DASA;ON      NM;NM
CVCB3;;NM;;;;;;;DESK3;DESKTOP;ON      NM;NM
CYRE3;;NM;;;;;;;DXCO3;DEXCO;ON      NM;NM
DXCO3;;NM;;;;;;;PNVL3;DIMED;ON      NM;NM
DIRR3;;NM;;;;;;;DIRR3;DIRECIONAL;ON      NM;NM
ECOR3;;NM;;;;;;;DOTZ3;DOTZ SA;ON      NM;NM
ELET3;;0;;;;;;;ECOR3;ECORODOVIAS;ON      NM;NM
ELET6;;0;;;;;;;ELMD3;ELETROMIDIA;ON      NM;NM
EMBR3;;NM;;;;;;;EMBR3;EMBRAER;ON      NM;NM
ENGI11;;0;;;;;;;ENEV3;ENEVA;ON      NM;NM
ENEV3;;NM;;;;;;;EGIE3;ENGIE BRASIL;ON      NM;NM
EGIE3;;NM;;;;;;;ENJU3;ENJOEI;ON      NM;NM
EQTL3;;NM;;;;;;;EQTL3;EQUATORIAL;ON      NM;NM
EZTC3;;NM;;;;;;;ESPA3;ESPACOLASER;ON      NM;NM
FLRY3;;NM;;;;;;;ALPK3;ESTAPAR;ON      NM;NM
GFSA3;;NM;;;;;;;ETER3;ETERNIT;ON      NM;NM
GGBR4;;0;;;;;;;EVEN3;EVEN;ON      NM;NM
GOAU4;;0;;;;;;;EZTC3;EZTEC;ON      NM;NM
GOLL4;;0;;;;;;;FHER3;FER HERINGER;ON      NM;NM
GGPS3;;NM;;;;;;;FLRY3;FLEURY;ON      NM;NM
GMAT3;;NM;;;;;;;GFSA3;GAFISA;ON      NM;NM
NTCO3;;NM;;;;;;;NINJ3;GETNINJAS;ON      NM;NM
SBFG3;;NM;;;;;;;GGPS3;GPS;ON      NM;NM
GUAR3;;NM;;;;;;;GRND3;GRENDENE;ON  EDJ NM;NM
HAPV3;;NM;;;;;;;GMAT3;GRUPO MATEUS;ON      NM;NM
HBSA3;;NM;;;;;;;NTCO3;GRUPO NATURA;ON      NM;NM
HYPE3;;NM;;;;;;;SBFG3;GRUPO SBF;ON      NM;NM
IGTI11;;0;;;;;;;GUAR3;GUARARAPES;ON      NM;NM
INTB3;;0;;;;;;;HAPV3;HAPVIDA;ON      NM;NM
MYPK3;;NM;;;;;;;HBRE3;HBR REALTY;ON      NM;NM
IRBR3;;NM;;;;;;;HBOR3;HELBOR;ON      NM;NM
ITSA4;;0;;;;;;;HBSA3;HIDROVIAS;ON      NM;NM
ITUB4;;0;;;;;;;HYPE3;HYPERA;ON      NM;NM
JBSS3;;NM;;;;;;;MEAL3;IMC S/A;ON      NM;NM
JHSF3;;NM;;;;;;;INTB3;INTELBRAS;ON      NM;NM
KEPL3;;NM;;;;;;;MYPK3;IOCHP-MAXION;ON      NM;NM
KLBN11;;0;;;;;;;RANI3;IRANI;ON      NM;NM
RENT3;;NM;;;;;;;IRBR3;IRBBRASIL RE;ON      NM;NM
LREN3;;0;;;;;;;JALL3;JALLESMACHAD;ON      NM;NM
LWSA3;;NM;;;;;;;JBSS3;JBS;ON  ED  NM;NM
MDIA3;;NM;;;;;;;JHSF3;JHSF PART;ON  ED  NM;NM
MGLU3;;NM;;;;;;;JSLG3;JSL;ON      NM;NM
POMO4;;0;;;;;;;KEPL3;KEPLER WEBER;ON      NM;NM
MRFG3;;NM;;;;;;;LAVV3;LAVVI;ON      NM;NM
CASH3;;NM;;;;;;;RENT3;LOCALIZA;ON      NM;NM
LEVE3;;NM;;;;;;;LOGG3;LOG COM PROP;ON      NM;NM
MILS3;;NM;;;;;;;LOGN3;LOG-IN;ON      NM;NM
BEEF3;;NM;;;;;;;AMAR3;LOJAS MARISA;ON      NM;NM
MOVI3;;NM;;;;;;;LREN3;LOJAS RENNER;ON      NM;NM
MRVE3;;NM;;;;;;;LPSB3;LOPES BRASIL;ON      NM;NM
MULT3;;0;;;;;;;LUPA3;LUPATECH;ON      NM;NM
NEOE3;;NM;;;;;;;LWSA3;LWSA;ON      NM;NM
ODPV3;;NM;;;;;;;MDIA3;M.DIASBRANCO;ON      NM;NM
ONCO3;;NM;;;;;;;MGLU3;MAGAZ LUIZA;ON      NM;NM
PCAR3;;NM;;;;;;;MRFG3;MARFRIG;ON      NM;NM
PETR3;;0;;;;;;;MATD3;MATER DEI;ON      NM;NM
PETR4;;0;;;;;;;CASH3;MELIUZ;ON      NM;NM
RECV3;;NM;;;;;;;MELK3;MELNICK;ON      NM;NM
PRIO3;;0;;;;;;;LEVE3;METAL LEVE;ON      NM;NM
PETZ3;;NM;;;;;;;MILS3;MILLS;ON      NM;NM
PLPL3;;NM;;;;;;;BEEF3;MINERVA;ON      NM;NM
PSSA3;;NM;;;;;;;MTRE3;MITRE REALTY;ON  ED  NM;NM
POSI3;;0;;;;;;;MBLY3;MOBLY;ON      NM;NM
QUAL3;;NM;;;;;;;MDNE3;MOURA DUBEUX;ON      NM;NM
LJQQ3;;NM;;;;;;;MOVI3;MOVIDA;ON      NM;NM
RADL3;;0;;;;;;;MRVE3;MRV;ON      NM;NM
RAIZ4;;0;;;;;;;MLAS3;MULTILASER;ON      NM;NM
RAPT4;;NM;;;;;;;NEOE3;NEOENERGIA;ON      NM;NM
RDOR3;;NM;;;;;;;NGRD3;NEOGRID;ON      NM;NM
RAIL3;;NM;;;;;;;OPCT3;OCEANPACT;ON      NM;NM
SBSP3;;NM;;;;;;;ODPV3;ODONTOPREV;ON      NM;NM
SAPR11;;0;;;;;;;ONCO3;ONCOCLINICAS;ON      NM;NM
SANB11;;0;;;;;;;ORVR3;ORIZON;ON      NM;NM
STBP3;;NM;;;;;;;OFSA3;OUROFINO S/A;ON      NM;NM
SMTO3;;NM;;;;;;;PCAR3;P.ACUCAR-CBD;ON      NM;NM
SRNA3;;NM;;;;;;;PDTC3;PADTEC;ON      NM;NM
CSNA3;;0;;;;;;;PGMN3;PAGUE MENOS;ON      NM;NM
SIMH3;;NM;;;;;;;RECV3;PETRORECSA;ON      NM;NM
SLCE3;;NM;;;;;;;PRIO3;PETRORIO;ON      NM;NM
SMFT3;;NM;;;;;;;PETZ3;PETZ;ON      NM;NM
SUZB3;;NM;;;;;;;PLPL3;PLANOEPLANO;ON      NM;NM
TAEE11;;0;;;;;;;PSSA3;PORTO SEGURO;ON      NM;NM
VIVT3;;0;;;;;;;PTBL3;PORTOBELLO;ON      NM;NM
TEND3;;NM;;;;;;;POSI3;POSITIVO TEC;ON      NM;NM
TIMS3;;NM;;;;;;;PRNR3;PRINER;ON      NM;NM
TOTS3;;NM;;;;;;;PFRM3;PROFARMA;ON  EJ  NM;NM
TRPL4;;0;;;;;;;QUAL3;QUALICORP;ON      NM;NM
TUPY3;;NM;;;;;;;LJQQ3;QUERO-QUERO;ON      NM;NM
UGPA3;;NM;;;;;;;RADL3;RAIADROGASIL;ON      NM;NM
USIM5;;0;;;;;;;RDOR3;REDE D OR;ON      NM;NM
VALE3;;NM;;;;;;;RDNI3;RNI;ON      NM;NM
VAMO3;;NM;;;;;;;ROMI3;ROMI;ON      NM;NM
VBBR3;;NM;;;;;;;RAIL3;RUMO S.A.;ON      NM;NM
VIVA3;;NM;;;;;;;SBSP3;SABESP;ON      NM;NM
VVEO3;;NM;;;;;;;STBP3;SANTOS BRP;ON      NM;NM
VULC3;;NM;;;;;;;SCAR3;SAO CARLOS;ON      NM;NM
WEGE3;;NM;;;;;;;SMTO3;SAO MARTINHO;ON      NM;NM
YDUQ3;;NM;;;;;;;SEER3;SER EDUCA;ON      NM;NM
;;;;;;;;;SRNA3;SERENA;ON      NM;NM
;;;;;;;;;SIMH3;SIMPAR;ON      NM;NM
;;;;;;;;;SLCE3;SLC AGRICOLA;ON      NM;NM
;;;;;;;;;SMFT3;SMART FIT;ON      NM;NM
;;;;;;;;;SUZB3;SUZANO S.A.;ON      NM;NM
;;;;;;;;;SYNE3;SYN PROP TEC;ON      NM;NM
;;;;;;;;;TRAD3;TC;ON      NM;NM
;;;;;;;;;TECN3;TECHNOS;ON      NM;NM
;;;;;;;;;TCSA3;TECNISA;ON      NM;NM
;;;;;;;;;TGMA3;TEGMA;ON      NM;NM
;;;;;;;;;TEND3;TENDA;ON      NM;NM
;;;;;;;;;LAND3;TERRASANTAPA;ON      NM;NM
;;;;;;;;;TIMS3;TIM;ON      NM;NM
;;;;;;;;;SHOW3;TIME FOR FUN;ON      NM;NM
;;;;;;;;;TOTS3;TOTVS;ON      NM;NM
;;;;;;;;;TRIS3;TRISUL;ON      NM;NM
;;;;;;;;;TPIS3;TRIUNFO PART;ON      NM;NM
;;;;;;;;;TUPY3;TUPY;ON      NM;NM
;;;;;;;;;UGPA3;ULTRAPAR;ON      NM;NM
;;;;;;;;;UCAS3;UNICASA;ON      NM;NM
;;;;;;;;;FIQE3;UNIFIQUE;ON      NM;NM
;;;;;;;;;VALE3;VALE;ON      NM;NM
;;;;;;;;;VLID3;VALID;ON      NM;NM
;;;;;;;;;VAMO3;VAMOS;ON  EJ  NM;NM
;;;;;;;;;VSTE3;VESTE;ON      NM;NM
;;;;;;;;;VBBR3;VIBRA;ON      NM;NM
;;;;;;;;;VTRU3;VITRUEDUCA;ON      NM;NM
;;;;;;;;;VITT3;VITTIA;ON      NM;NM
;;;;;;;;;VIVA3;VIVARA S.A.;ON      NM;NM
;;;;;;;;;VVEO3;VIVEO;ON      NM;NM
;;;;;;;;;VIVR3;VIVER;ON      NM;NM
;;;;;;;;;VULC3;VULCABRAS;ON      NM;NM
;;;;;;;;;LVTC3;WDC NETWORKS;ON      NM;NM
;;;;;;;;;WEGE3;WEG;ON      NM;NM
;;;;;;;;;PORT3;WILSON SONS;ON      NM;NM
;;;;;;;;;WIZC3;WIZ CO;ON      NM;NM
;;;;;;;;;YDUQ3;YDUQS PART;ON      NM;NM
